,AMZN,AMZN,AMZN,AMZN,AMZN
,open,high,low,close,volume
time,,,,,
2017-12-06 00:00:00-05:00,1138.58,1155.89,1136.08,1152.94,1827873
2017-12-07 00:00:00-05:00,1156.59,1163.19,1151.0,1160.0,1593509
2017-12-08 00:00:00-05:00,1170.4,1172.79,1157.1,1161.99,1901497
2017-12-11 00:00:00-05:00,1164.6,1169.9,1157.0,1169.15,1434643
2017-12-12 00:00:00-05:00,1166.51,1173.6,1161.61,1165.56,1418735
2017-12-13 00:00:00-05:00,1170.0,1170.87,1160.27,1164.48,1588655
2017-12-14 00:00:00-05:00,1163.71,1177.93,1162.45,1175.06,2069320
2017-12-15 00:00:00-05:00,1177.85,1182.75,1169.33,1178.98,2640567
2017-12-18 00:00:00-05:00,1187.37,1194.78,1180.91,1190.8,1774701
2017-12-19 00:00:00-05:00,1189.15,1192.97,1179.14,1187.43,1615743
2017-12-20 00:00:00-05:00,1190.8,1191.0,1176.0,1177.29,1396963
2017-12-21 00:00:00-05:00,1175.9,1179.17,1167.64,1174.87,1274624
2017-12-22 00:00:00-05:00,1172.08,1174.62,1167.83,1168.33,991630
2017-12-26 00:00:00-05:00,1168.94,1178.32,1160.55,1176.94,1310412
2017-12-27 00:00:00-05:00,1180.74,1187.29,1175.61,1181.81,1168757
2017-12-28 00:00:00-05:00,1189.0,1190.1,1184.38,1185.99,1170447
2017-12-29 00:00:00-05:00,1182.35,1184.0,1167.5,1169.54,1471584
2018-01-02 00:00:00-05:00,1172.0,1190.0,1170.51,1189.0,1615329
2018-01-03 00:00:00-05:00,1188.3,1205.49,1188.3,1202.74,1979510
2018-01-04 00:00:00-05:00,1207.52,1215.87,1204.66,1209.64,1918318
2018-01-05 00:00:00-05:00,1217.51,1229.14,1210.0,1229.07,2134446
2018-01-08 00:00:00-05:00,1236.0,1253.08,1232.03,1246.95,2621390
2018-01-09 00:00:00-05:00,1256.9,1259.33,1241.76,1253.12,2333547
