AMZN,AMZN,AMZN,AMZN,AMZN,SPY,SPY,SPY,SPY,SPY,TSLA,TSLA,TSLA,TSLA,TSLA
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
1682.7,1713.89,1678.06,1713.75,1844773,269.51,272.04,269.24,271.94,48149141,360.28,364.78,329.85,335.07,14936701
1723.96,1725.0,1692.48,1694.88,1224968,272.87,272.98,270.42,270.83,29950023,331.91,332.49,309.69,310.9247,9605990
1706.05,1710.69,1682.15,1699.56,1756136,272.16,273.18,270.96,273.09,41513039,313.76,314.39,296.22,309.11,13989015
1698.01,1715.27,1691.67,1711.01,1379167,273.14,275.84,272.715,275.37,47009612,304.9545,312.07,302.0,308.91,7097253
1723.76,1739.56,1716.23,1739.03,1575436,276.55,277.96,276.5,277.89,32603309,311.8553,318.52,308.0,318.29,5743049
1738.28,1750.0,1731.0,1743.35,1701145,278.41,279.01,278.08,278.82,38072685,324.56,327.6771,319.2,322.37,7098726
1737.35,1756.96,1734.0,1755.53,1707927,277.14,278.04,276.52,276.91,56481952,315.8,321.94,315.07,318.9,3737257
1764.95,1798.0,1762.18,1796.6,2695856,278.27,279.43,277.6,279.3,42796569,321.43,323.23,312.77,316.72,4399037
1803.93,1815.3,1795.23,1813.2,2518905,279.19,279.93,278.66,279.57,37014795,315.58,319.5849,309.25,318.8,4785549
1822.08,1841.95,1814.45,1822.49,3262549,279.64,279.803,278.84,279.35,30340942,311.71,315.16,306.25,310.19,6151554
1811.56,1851.69,1797.38,1844.0,3401698,278.47,280.91,278.41,280.5,39999168,308.81,324.74,308.5,322.67,5459321
1848.01,1858.88,1831.27,1842.47,2801302,280.59,281.18,280.06,281.05,30022719,325.0,325.5,316.25,324.0,4352952
1829.46,1841.0,1811.27,1813.68,2546481,280.31,280.74,279.46,280.01,44342606,316.33,323.54,314.01,320.23,4659445
1824.25,1834.84,1810.06,1813.68,2139385,279.76,280.48,279.5,279.74,43292444,321.23,323.24,311.7093,313.57,4065299
1815.0,1819.0,1769.99,1802.0,2107001,279.45,280.43,279.06,280.24,34039725,301.84,305.5,292.8601,303.2,8204781
1830.73,1840.0,1809.38,1829.28,2324523,281.79,282.56,280.63,281.57,46684350,304.4209,307.7171,292.5452,297.42,7452588
1829.3,1863.84,1822.64,1863.8,3333152,281.33,284.37,281.28,284.13,50868250,296.74,309.62,294.5025,308.73,5567873
1839.0,1844.68,1804.5,1805.22,5681651,283.21,284.11,283.09,283.29,38319472,304.85,310.7,303.6411,306.35,3519786
1876.05,1880.05,1806.53,1817.99,8768534,283.71,283.82,280.38,281.46,57211361,307.25,307.6933,295.3404,297.19,4277023
1827.33,1829.5,1766.02,1779.28,5352547,281.49,281.69,279.36,279.89,46935673,295.9,296.1,286.13,290.18,5158301
1786.49,1801.83,1739.32,1777.41,5382278,280.81,282.02,280.38,281.22,48645613,292.25,298.32,289.07,298.15,3748147
1784.0,1798.4365,1776.02,1797.05,3885543,281.56,282.13,280.1315,280.92,40627557,297.99,303.0,293.0,301.489,5542797
1788.77,1836.56,1786.0,1834.21,3880943,279.38,282.58,279.16,282.34,42491022,328.49,349.99,323.16,349.3898,17674152
1838.78,1841.0,1821.501,1822.93,2389567,282.53,283.65,282.33,283.64,34485363,347.81,355.0,342.53,348.3,10354676
1825.81,1847.77,1818.92,1847.68,2480210,283.56,284.99,283.2015,284.68,29906355,345.46,354.98,341.82,342.0,6660981
1854.53,1869.72,1846.27,1862.7,2596829,285.39,286.01,285.24,285.54,32455420,343.84,387.46,339.1501,379.58,24571707
1861.0,1891.51,1854.5,1886.52,3631508,285.39,285.91,284.94,285.42,29142601,368.8,382.64,367.12,370.38,17610717
1882.38,1914.57,1877.48,1898.13,3755811,285.53,285.97,284.915,285.06,24338809,365.83,367.01,345.73,352.26,12517790
1888.51,1899.5,1878.2125,1886.0,2710068,283.45,284.055,282.36,283.12,56622478,354.0,360.0,346.0,355.529,8902416
1898.5,1925.0,1893.67,1895.65,4399293,283.47,284.16,281.77,282.05,49247799,361.13,363.19,349.02,356.41,7572106
1919.39,1921.01,1900.0,1919.86,3654984,282.92,284.17,282.4833,283.86,32906829,358.45,359.1995,347.1,347.64,5255790
1909.55,1916.21,1869.79,1882.37,7188924,282.38,282.54,280.16,281.76,76384638,341.9059,344.49,332.14,338.76,6835061
1903.94,1905.0499,1883.5525,1887.47,3621475,283.4,285.04,283.36,284.1,49048421,339.91,342.28,333.82,335.45,4291063
1885.8,1888.0,1855.55,1882.22,3201138,283.83,285.5601,283.37,285.02,43630918,323.5,326.77,303.53,305.51,14358488
1890.57,1891.7465,1866.061,1877.24,2722850,285.57,285.97,285.06,285.71,27878971,291.7035,308.5,288.2,308.44,12242447
1880.0,1897.75,1874.405,1883.64,2861300,286.24,287.31,286.105,286.25,47719238,310.61,324.79,309.0,321.9,10077506
1876.64,1905.8,1876.64,1905.45,2945031,285.88,286.76,285.575,286.2,32602524,320.87,323.88,314.67,321.52,4813931
1907.17,1919.5,1900.76,1902.8,2409406,285.97,286.94,285.43,285.77,35732521,319.14,327.32,318.1,320.11,3955535
1910.51,1916.01,1902.54,1905.43,2488959,286.44,287.67,286.38,287.5,40945048,320.7,323.85,319.4,322.81,2749357
1915.0,1927.7,1906.01,1927.62,3336319,288.86,289.9,288.68,289.72,36802314,318.01,322.435,308.81,319.54,10187976
1937.73,1941.7771,1928.82,1933.0,2842250,290.3,290.4175,289.4,289.88,31369031,318.41,318.88,311.19,311.85,6176933
1953.45,1998.69,1948.94,1998.38,6159931,290.16,291.74,289.8854,291.47,38873854,310.27,311.85,303.69,304.88,5849149
1997.42,2025.57,1986.9,2002.22,7007660,290.94,291.36,289.63,290.24,46359182,302.26,304.6,297.72,303.135,5689793
2005.01,2022.38,2004.74,2013.83,2830739,289.84,290.81,289.29,290.22,41574725,302.0,305.3082,298.6,301.65,4138251
2026.5,2050.5,2013.0,2039.58,4420050,289.84,290.21,288.68,289.87,43756351,296.94,298.19,288.0,288.99,6422883
2038.11,2040.38,1989.89,1995.0,4249859,289.41,289.64,287.89,289.06,49432684,285.08,286.78,277.18,280.6987,5655214
2006.505,2007.5,1935.21,1958.365,5614278,289.15,289.49,287.0,288.2,50836252,284.8,291.17,278.88,281.0095,5679908
1938.71,1975.2,1937.35,1952.2,3472937,286.98,288.7,286.71,287.56,51317994,260.25,268.35,252.2548,263.24,16242828
1970.43,1973.04,1931.5157,1941.81,3100576,288.76,289.04,287.88,288.09,32357518,273.26,286.03,271.0,285.46,11348654
1928.27,1988.88,1917.0,1987.61,2715087,287.37,289.55,286.975,289.11,36335994,279.31,282.0,273.55,279.43,6899938
1994.0,2000.0,1962.44,1990.07,2985582,289.06,289.8,288.23,289.16,46644377,281.44,292.5,278.6463,290.56,7594078
2000.0,2008.76,1982.0277,1990.0,3280352,290.32,291.0384,289.995,290.82,38536035,288.27,295.0,285.18,289.42,4758415
1991.75,1993.0,1959.22,1970.19,3440333,291.06,291.27,290.0,290.9,37322600,288.74,297.3256,286.52,295.11,5120958
1952.865,1956.82,1887.41,1908.03,6821963,290.82,290.86,289.03,289.34,43382137,290.04,300.87,288.13,294.79,5176019
1917.5,1958.2,1916.01,1941.59,3024558,289.57,291.58,289.55,290.9,38573521,296.3,302.64,275.5,284.93,12923352
1940.5,1940.83,1904.9,1926.28,2180429,290.97,291.69,290.825,291.25,34596543,280.77,300.0,280.5,299.04,6156658
1943.1663,1955.0,1932.25,1944.3,2921514,292.64,293.94,292.51,293.55,54097569,303.56,305.98,293.33,298.32,5573331
1953.51,1957.31,1910.5011,1915.01,5370017,293.09,293.22,291.81,292.01,45805544,297.7,300.58,295.37,299.01,3408179
1898.59,1936.88,1865.0,1934.35,3642637,291.34,291.5,290.37,291.07,37585070,298.48,302.9993,293.58,299.73,3638324
1942.9,1975.91,1938.85,1974.55,2766623,291.53,291.65,290.4833,290.7,30128907,300.0,304.6,296.5,301.05,3401297
1968.3,1995.25,1961.52,1974.85,3223351,290.92,292.24,289.41,289.84,53536102,301.65,313.89,301.1093,309.5664,5964409
1989.6,2016.1564,1989.5,2012.98,4055435,290.44,291.91,290.1,290.65,42099964,312.9,314.96,306.91,307.46,3303572
2009.6628,2026.52,1996.4648,2002.57,3243297,289.99,291.28,289.95,290.61,49399177,270.26,278.0,260.555,264.72,25167046
2021.0,2033.19,2003.6,2004.36,2232245,292.13,292.93,290.98,291.67,45685920,305.49,311.44,301.05,310.3446,15258287
2000.6014,2013.39,1965.77,1970.0,4012791,291.56,292.355,291.14,291.57,36043833,314.0,316.84,299.15,300.9,8518600
1981.69,1989.7,1949.81,1952.76,4713942,292.72,293.21,291.32,291.78,44874126,303.33,304.6,291.57,295.03,6300641
1949.0,1956.0,1896.57,1910.32,5137287,291.18,291.24,287.66,289.47,85200164,293.95,294.0,277.67,281.84,7147210
1917.99,1929.08,1862.83,1889.58,5545721,289.69,290.27,286.22,287.89,77118851,274.61,274.88,260.0,261.99,13362410
1870.585,1901.9962,1830.6627,1864.42,7061322,287.04,288.22,285.5,287.8,67482921,264.26,267.7599,249.0,250.54,9900147
1861.0,1896.6759,1852.32,1870.32,4496453,287.39,288.86,286.77,287.43,58656443,255.25,266.77,253.3,262.81,9143892
1855.5332,1857.0,1754.41,1755.25,10503319,286.83,286.91,277.88,278.17,151494009,264.61,265.51,247.77,256.89,9657608
1725.01,1754.0,1685.1,1719.36,11936763,277.08,278.9,270.36,272.25,202752125,257.53,262.25,249.03,252.33,6000952
1795.905,1806.26,1742.53,1788.61,6314157,276.77,277.09,272.37,276.01,130243220,260.98,261.99,252.01,259.15,5270938
